Kitap Adı,Yazar,Puan,Türler,Çevirmen,Okunma Sayısı,Begeni Sayısı,Bkmkitap,Kitapyurdu,Erkek,Kadın,Tahmini Okuma Süresi,Sayfa Sayısı,Basım Tarihi,İlk Yayın Tarihi,Yayınevi,Editör,Tasarımcı,Derleyen,Çizer
"""Allahı Ne Kadar Tanıyoruz? 1""",Şair’ül İslam Yunus Kokan,8.9,['Din (İslam)'],,1118,597,145.6,,12.099999999999994,87.9,578,340,2018,0,Tilki Kitap,,,,
Mekanik Prens,Cassandra Clare,8.6,"['Edebiyat', 'Fantastik', 'Roman']",Selim Yeniçeri,1117,316,87.75,219.87,3.700000000000003,96.3,1020,600,2012,2011,Artemis Yayınları,,,,
İki Şiirin Arasında,Yekta Kopan,7.0,"['Edebiyat', 'Hikaye (Öykü)']",,1117,224,126.75,87.09,24.599999999999994,75.4,245,144,2014,0,Can Yayınları,,,,
Sonsuz Gül,Jorge Luis Borges,7.6,"['Edebiyat', 'Şiir']",Ayşe Nihal Akbulut,1117,219,,,38.3,61.7,151,89,2016,2002,İletişim Yayıncılık,,,,
Metal Fırtına 3 - Kızıl Kurt,Orkun Uçar,7.8,"['Edebiyat', 'Fantastik', 'Roman']",,1116,199,12.75,22.0,83.3,16.700000000000003,435,256,2006,0,Altın Kitaplar,,,,
Meditasyonlar,René Descartes,8.3,['Felsefe-Düşünce'],Çiğdem Dürüşken,1116,240,68.25,81.9,58.3,41.7,231,136,2015,2007,Alfa Yayıncılık,,Adnan Elmasoğlu,,
Yaşlı Cato veya Yaşlılık Üzerine,Marcus Tullius Cicero,7.9,['Felsefe-Düşünce'],C. Cengiz Çevik,1116,238,29.9,29.45,53.7,46.3,136,80,2019,1951,Türkiye İş Bankası Kültür Yayınları,,,,
Psikanaliz ve Din,Erich Fromm,8.4,"['Tarih', 'Din (İslam)', 'Felsefe-Düşünce', 'Psikoloji', 'İnsan ve Toplum']",Elif Erten,1116,279,70.0,76.0,51.2,48.8,204,120,2023,1950,Say Yayınları,,,,
"İbni Arabi - Kimi Seviyorsan, Herkesin Yüzünde Onu Görürsün",Ferhat Atik,7.5,"['Araştırma-İnceleme', 'Biyografi', 'Felsefe-Düşünce', 'İnsan ve Toplum']","Derleyen: \nFerhat Atik, Tasarımcı: \nTuğba Sarıünal",1115,220,31.2,,34.400000000000006,65.6,122,72,2020,0,Destek Yayınları,,Tuğba Sarıünal,Ferhat Atik,
Ben Hep Senin Yanındaydım,Nejat İşler,7.0,"['Edebiyat', 'Hikaye (Öykü)']",,1114,249,133.25,109.48,45.7,54.3,272,160,2019,0,Mundi Kitap,,,,
III. Richard,William Shakespeare,8.3,"['Dünya Klasikleri', 'Edebiyat', 'Tiyatro', 'Senaryo-Oyun']",Özdemir Nutku,1114,173,49.4,38.75,44.7,55.3,298,175,2013,1593,Türkiye İş Bankası Kültür Yayınları,,,,
Ulysses,James Joyce,8.3,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Armağan Ekici,1115,493,86.4,187.5,54.8,45.2,1275,750,2015,1922,Norgunk Yayıncılık,,,,
Klas Duruş,Nuri Pakdil,8.6,"['Deneme-İnceleme', 'Edebiyat']",,1115,292,80.6,84.5,29.0,71.0,190,112,1997,0,Edebiyat Dergisi Yayınları,,,,
Elmas Dizeler Altın Sözler 1,Şair’ül İslam Yunus Kokan,9.0,"['Edebiyat', 'Şiir']",,1114,603,,,11.5,88.5,163,96,2018,0,Kutlu Yayınevi,,,,
"""Vel-Asr""",İsmet Özel,8.9,"['Deneme-İnceleme', 'Edebiyat']",,1114,327,138.45,134.4,40.3,59.7,462,272,2013,1996,Tiyo Yayınları,,,,
Köse Kadı,Bahaeddin Özkişi,7.5,"['Edebiyat', 'Roman', 'Tarih']",,1113,201,111.0,139.49,41.7,58.3,428,252,2019,1979,Ötüken Neşriyat,,,,
Gurbet Kuşları,Orhan Kemal,8.4,"['Edebiyat', 'Roman']",,1113,229,44.25,,43.8,56.2,653,384,2020,1970,Everest Yayınları,,Utku Lomlu,,
Putlar Yıkılırken,Osman Balcıgil,8.4,"['Edebiyat', 'Roman']",,1113,330,25.2,,22.900000000000006,77.1,911,536,2019,0,Destek Yayınları,,,,
444 Basamak,Mario Mazzanti,8.4,"['Roman', 'Polisiye', 'Psikoloji', 'Edebiyat', 'Korku-Gerilim']",Güliz Akyüz,1112,334,24.0,117.0,34.8,65.2,680,400,2019,2017,Sonsuz Kitap Yayınları,,,,
Değişim,Mo Yan,7.0,"['Edebiyat', 'Hikaye (Öykü)']",Erdem Kurtuldu,1112,199,91.0,96.43,27.0,73.0,163,96,2016,0,Can Yayınları,,,,
Uyuyan Güzel,Grimm Kardeşler,7.7,"['Çocuk', 'Edebiyat', 'Masal']",,1110,112,7.2,,20.0,80.0,41,24,2014,2013,Türkiye İş Bankası Kültür Yayınları,,,,
Seni Sevmek İstemedim,Fatih Murat Arsal,7.9,"['Aşk', 'Edebiyat', 'Roman']",,1109,287,185.4,,5.400000000000006,94.6,978,575,2015,0,Ephesus Yayınları,,,,
Günlükler,Sylvia Plath,8.7,"['Anı-Mektup-Günlük', 'Edebiyat']",Merve Sevtap Ilgın,1110,391,120.0,206.25,20.900000000000006,79.1,918,540,2014,1998,Kırmızı Kedi,,,,
Sessiz Tanık,Agatha Christie,8.0,"['Edebiyat', 'Polisiye', 'Roman']",Çiğdem Öztekin,1109,215,215.6,203.0,23.5,76.5,571,336,2010,1962,Altın Kitaplar,,,,
Daisy Miller,Henry James,6.7,"['Dünya Klasikleri', 'Edebiyat', 'Kadın', 'Novella']",Gülümser Ağırer,1109,149,71.2,70.58,19.700000000000003,80.3,241,142,2021,1878,İletişim Yayıncılık,,,,
"""Saftirik Gregin Günlüğü 7 - Ah Kalbim!""",Jeff Kinney,8.5,"['Çocuk', 'Edebiyat', 'Eğlence-Mizah', 'Gençlik', 'Roman']",Kenan Özgür,1109,216,165.0,174.56,45.6,54.4,381,224,2012,2012,Epsilon Yayınları,,,,
Elmas Dizeler Altın Sözler 2,Şair’ül İslam Yunus Kokan,8.7,"['Edebiyat', 'Şiir']",,1109,616,,,11.700000000000003,88.3,204,120,2019,0,Kutlu Yayınevi,,,,
Lider,R. Gaye Önel,7.6,"['Edebiyat', 'Fantastik', 'Roman']",,1108,246,115.5,31.85,4.200000000000003,95.8,680,400,2016,0,Dokuz Yayınları,,,,
Kira Kiralina,Panait Istrati,7.8,"['Edebiyat', 'Roman']",Bertan Onaran,1108,270,40.3,24.8,33.099999999999994,66.9,231,136,2020,0,Türkiye İş Bankası Kültür Yayınları,Barış Zeren,,,
Motorlu Kuş,Cahit Zarifoğlu,8.5,"['Çocuk', 'Edebiyat', 'Hikaye (Öykü)']",,1110,199,41.4,14.52,26.700000000000003,73.3,163,96,2015,0,Beyan Yayınları,,,,
Neva,Ilgın Olut,6.8,"['Edebiyat', 'Roman']",,1108,160,22.04,24.11,18.299999999999997,81.7,656,386,2007,0,Doğan Kitap,,,,
Tanrı İle Sohbet 1: Alışılmadık Bir Diyalog,Neale Donald Walsch,8.5,"['Felsefe-Düşünce', 'Psikoloji']",Nil Gün,1108,338,177.5,151.55,33.0,67.0,612,360,2019,0,Ötesi Yayıncılık,,,,
Mehmed Akif,Sezai Karakoç,8.6,"['Biyografi', 'Deneme-İnceleme', 'Edebiyat']",,1108,244,45.6,21.0,36.8,63.2,162,95,2018,2007,Diriliş Yayınları,,,,
Dünya Bu Kadar,Mahir Ünsal Eriş,8.0,"['Roman', 'Edebiyat']",,1108,218,23.25,101.7,26.400000000000006,73.6,333,196,2015,0,İletişim Yayıncılık,,,,
Benim Küçük Sırrım 2,Dilara Keskin,7.7,"['Roman', 'Edebiyat']",,1107,229,161.4,192.34,2.5,97.5,653,384,2021,0,Ephesus Yayınları,,,,
Ateşin Vaadi,Amanda Bouchet,8.2,"['Roman', 'Fantastik', 'Aşk', 'Edebiyat']",Tuba Özkat,1107,283,92.0,189.75,2.4000000000000057,97.6,707,416,2022,2016,Yabancı Yayınları,,,,
Kalıntı 2,Ceren Melek,8.0,"['Roman', 'Edebiyat']",,1108,233,173.4,198.69,3.299999999999997,96.7,734,432,2022,0,Ephesus Yayınları,,,,
Gölge Öpücük,Richelle Mead,8.5,"['Edebiyat', 'Fantastik', 'Roman']",Yeliz Üslü,1106,204,253.5,292.5,5.0,95.0,728,428,2012,2008,Artemis Yayınları,,,,
Herkesleşme,Tunç İlkman,7.2,"['Edebiyat', 'Roman']",,1106,217,,,11.099999999999994,88.9,272,160,2016,0,Destek Yayınları,,,,
Olmamış Kahraman Emeklisi,Ali Lidar,7.8,"['Edebiyat', 'Şiir']",,1107,208,85.84,73.08,33.900000000000006,66.1,190,112,2019,0,İthaki Yayınları,,,,
Oruç / Sırları ve Fazileti,İmam Gazali,9.2,['Din (İslam)'],,1106,310,45.5,45.5,19.799999999999997,80.2,116,68,2014,0,Çelik Yayınevi,,,,
Bozkırdaki Çekirdek,Kemal Tahir,8.4,"['Edebiyat', 'Roman']",,1105,284,91.0,92.4,56.7,43.3,775,456,2017,1967,İthaki Yayınları,,,,
Sanatçının Bir Genç Adam Olarak Portresi,James Joyce,8.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Murat Belge,1106,260,132.0,125.81,40.7,59.3,576,339,2018,1916,İletişim Yayıncılık,,,,
Yıldız Tozu,Priscille Sibley,8.1,"['Roman', 'Aşk', 'Edebiyat']",Gizem Yeşildal,1104,283,,,5.599999999999994,94.4,789,464,2014,0,Arkadya Yayınları,Çağla Dirice,,,
Eski Bahçe,Tezer Özlü,7.4,"['Edebiyat', 'Hikaye (Öykü)']",,1102,212,8.42,,28.299999999999997,71.7,136,80,2018,1978,Yapı Kredi Yayınları,,,,
Yakalanan Zaman,Marcel Proust,9.1,"['Roman', 'Edebiyat']",Roza Hakmen,1103,378,78.0,96.25,37.3,62.7,598,352,2020,0,Yapı Kredi Yayınları,Orçun Türkay,Nahide Dikel,,
Miftah’ul Vatan Çanakkale,Şair’ül İslam Yunus Kokan,8.7,"['Edebiyat', 'Şiir']",,1102,605,,,12.099999999999994,87.9,391,230,2018,0,Kutlu Yayınevi,,,,
Yüreğimin Sesini Dinle,Susanna Tamaro,7.6,"['Roman', 'Edebiyat']",Eren Yücesan Cendey,1102,175,146.25,120.35,17.0,83.0,323,190,2023,2006,Can Yayınları,,,,
Bilinç ve Eşekleştirme,Ali Şeriati,9.1,"['Din (İslam)', 'Felsefe-Düşünce']",,1102,290,34.65,32.95,47.7,52.3,133,78,2013,0,Fecr,,,,
Başkan Babamızın Sonbaharı,Gabriel Garcia Marquez,7.4,"['Roman', 'Edebiyat']",Tomris Uyar,1102,258,152.75,116.81,48.4,51.6,435,256,2022,1975,Can Yayınları,,,,
Çernobil Duası,Svetlana Aleksiyeviç,9.0,"['Anı-Mektup-Günlük', 'Edebiyat', 'Tarih']",Aslı Takanay,1101,387,207.0,210.19,31.700000000000003,68.3,782,460,2017,2006,Kafka Kitap,,,,
Bitik Adam,Giovanni Papini,8.2,"['Roman', 'Felsefe-Düşünce', 'Edebiyat']",Sinem Carnabuci,1101,343,101.05,,39.7,60.3,469,276,2020,1913,Monokl Yayınları,,,,
“-miş” Gibi Yaşamak,Tolga Bahçeci,9.3,"['Deneme-İnceleme', 'Edebiyat']",,1100,1073,9.1,,,,136,80,2019,0,Karina Yayınevi,,,,
Teknenin Ölümü,Melih Cevdet Anday,7.1,"['Edebiyat', 'Şiir']",,1099,186,,,31.799999999999997,68.2,240,141,1975,1975,Sander Yayınları,,,,
Kul,Seray Şahiner,7.2,"['Edebiyat', 'Roman']",,1099,238,55.25,81.7,17.299999999999997,82.7,258,152,2017,0,Can Yayınları,,,,
Sevda,Halit Ertuğrul,8.6,"['Roman', 'Edebiyat', 'Gençlik']",,1099,180,71.5,66.0,22.099999999999994,77.9,240,141,2008,0,Timaş Yayınları,,,,
Yenidendoğan Ejder,Robert Jordan,9.1,"['Roman', 'Fantastik', 'Edebiyat']",Niran Elçi,1098,339,218.4,431.25,58.1,41.9,1170,688,2019,2004,İthaki Yayınları,,,,
Yorgunluk Toplumu,Byung-Chul Han,7.6,"['Felsefe-Düşünce', 'İnsan ve Toplum', 'Sosyoloji']",Samet Yalçın,1098,205,40.6,13.86,38.7,61.3,109,64,2015,2010,Açılım Kitap,,Tekin Öztürk,,
Duman,Ivan Turgenyev,8.1,"['Dünya Klasikleri', 'Edebiyat', 'Roman']",Ergin Altay,1098,228,52.0,37.38,54.8,45.2,360,212,2012,0,İş Bankası Kültür Yayınları,,,,
Tozlu Rüyalar Kitapçısı,Cynthia Swanson,8.0,"['Edebiyat', 'Roman']",Esra Yüksel,1098,316,,,8.700000000000003,91.3,734,432,2015,0,Martı Yayınları,,,,
Dermansız Sevda Dewrêş ile Adûlê,Ali Oruç (Bawer Ferat),8.8,"['Roman', 'Tarih', 'Edebiyat']",,1098,246,87.1,51.13,46.5,53.5,447,263,2002,0,Yurt Kitap Yayın,,,,
İşi Vaktinden Çok Olanlar 2,Nureddin Yıldız,9.4,"['Deneme-İnceleme', 'Din (İslam)', 'Edebiyat']",,1097,305,,,24.099999999999994,75.9,333,196,2011,0,Tahlil Yayınları,,,,
Karılar Koğuşu,Kemal Tahir,8.1,"['Edebiyat', 'Roman']",,1097,266,76.05,77.22,51.2,48.8,626,368,2020,1974,İthaki Yayınları,,,,
Mektup Aşkları,Leyla Erbil,7.6,"['Aşk', 'Edebiyat', 'Roman']",,1096,237,39.0,54.25,22.200000000000003,77.8,389,229,2010,1989,İş Bankası Kültür Yayınları,,,,
İnsan Tabiatını Tanıma,Alfred Adler,8.5,"['Psikoloji', 'Sosyoloji']",Ayda Yörükan,1098,281,70.2,69.75,43.9,56.1,437,257,2022,1927,İş Bankası Kültür Yayınları,,,,
Mercan Adası,Robert Michael Ballantyne,7.8,"['Çocuk', 'Edebiyat', 'Hikaye (Öykü)']",Gökçen Ezber,1096,190,21.3,10.01,40.9,59.1,503,296,2016,1857,İş Bankası Kültür Yayınları,,,,
Aykırı Yaşamak,Şükrü Erbaş,8.7,"['Edebiyat', 'Şiir']",,1096,287,,,29.299999999999997,70.7,230,135,1993,0,Öteki Yayınevi,,,,
Madenci,Natsume Soseki,7.8,"['Edebiyat', 'Roman']",Sinan Ceylan,1098,279,65.0,61.63,23.099999999999994,76.9,367,216,2018,1908,Jaguar Kitap,,,,
Veda Caddesi - Cevf,Sümeyye Demirkan,8.1,"['Aşk', 'Edebiyat', 'Roman']",,1096,321,155.4,185.19,1.9000000000000057,98.1,789,464,2019,0,Ephesus Yayınları,,,,
Arzuhâl,Sadiye Erol Aykaç,9.4,"['Edebiyat', 'Roman']",,1096,456,72.0,156.0,6.400000000000006,93.6,612,360,2021,0,Nesil Yayınları,,,,
George Dandin veya Bir Koca Nasıl Rezil Edilir?,Molière,8.1,"['Dünya Klasikleri', 'Edebiyat', 'Senaryo-Oyun', 'Tiyatro']",Sema Kutay,1095,257,42.9,26.35,38.7,61.3,133,78,2011,0,Türkiye İş Bankası Kültür Yayınları,,,,
Mavi Tüy: Gönülsüz Bir Mesihin Serüvenleri,Richard Bach,8.1,"['Bilim-Kurgu', 'Edebiyat', 'Roman']",Mehmet Harmancı,1095,264,101.1,105.81,27.0,73.0,240,141,2013,1993,Epsilon Yayınları,,,,
Su Kasidesi,İskender Pala,8.8,"['Deneme-İnceleme', 'Edebiyat']",,1094,215,48.75,54.0,32.2,67.8,146,86,2020,0,Kapı Yayınları,,Utku Lomlu,,
Yabana Doğru,Jon Krakauer,8.6,"['Biyografi', 'Edebiyat', 'Roman']",Taylan Taftaf,1094,370,120.0,119.04,50.7,49.3,422,248,2013,1997,Siren Yayınları,,,,
Arkakapak Yazıları,Mustafa Kutlu,7.9,"['Edebiyat', 'Hikaye (Öykü)']",,1094,224,75.0,65.0,28.900000000000006,71.1,167,98,2014,1995,Dergah Yayınları,,,,
Annelik Sanatı,Adem Güneş,7.9,"['Eğitim', 'Aile (Kadın, Erkek ve Çocuk)']",,1092,242,147.0,147.0,6.200000000000003,93.8,354,208,2013,2009,Nesil Yayınları,Özlem Gölcü Candemir,Kenan Bıyıklı,,
Jason Thorn’u Sevmek,Ella Maise,7.4,"['Roman', 'Aşk', 'Edebiyat']",Kübra Tekneci,1093,190,130.0,150.15,1.4000000000000057,98.6,626,368,2023,2015,Yabancı Yayınları,,,,
Niteliksiz Adam 1,Robert Musil,8.5,"['Edebiyat', 'Roman']",Ahmet Cemal,1092,447,260.0,248.25,49.9,50.1,938,552,2019,1930,Yapı Kredi Yayınları,,,,
Aşk Çıkmazı,Ali Hazelwood,7.4,"['Aşk', 'Edebiyat']",Selen Beril Tüccarbaşıoğlu Uğur,1093,173,63.94,95.08,1.2999999999999972,98.7,231,136,2023,0,Nemesis Yayınevi,Merve Mumcu,,,
Hikmet Dolu Liman Şiirlerle İman 1,Şair’ül İslam Yunus Kokan,8.5,"['Din (İslam)', 'Edebiyat', 'Şiir']",,1092,593,52.0,,11.900000000000006,88.1,75,44,2017,0,Tilki Kitap,Zehra Kıratlı,,,
Percy Jackson ve Yunan Tanrıları,Rick Riordan,8.8,"['Roman', 'Edebiyat', 'Gençlik']",Esen Gür,1092,211,192.0,189.0,25.599999999999994,74.4,680,400,2015,0,Doğan ve Egmont Yayıncılık,,,,
Kağıt Prenses,Erin Watt,6.8,"['Roman', 'Aşk', 'Edebiyat']",Hanife Albayrak,1092,222,120.0,180.0,1.7999999999999972,98.2,544,320,2021,2016,Yabancı Yayınevi,Ece Çavuşlu,,,
Aşk,Şair’ül İslam Yunus Kokan,8.7,"['Edebiyat', 'Şiir']",,1091,623,,,12.099999999999994,87.9,187,110,2018,0,Kutlu Yayınevi,,,,
Kan ve Yıldız Işığı Günleri,Laini Taylor,8.2,"['Roman', 'Fantastik', 'Edebiyat']",Uğur Mehter,1090,277,178.75,206.25,3.5,96.5,833,490,2020,2014,Artemis Yayınları,,,,
Nerde Kalmıştık,İpek Ongun,8.7,"['Edebiyat', 'Gençlik', 'Roman']",,1090,188,178.75,173.25,1.7999999999999972,98.2,598,352,2015,0,Artemis Yayınları,,,,
Allah’ı Ne Kadar Tanıyoruz? 2,Şair’ül İslam Yunus Kokan,9.0,"['Araştırma-İnceleme', 'Din (İslam)']",,1090,608,,,12.099999999999994,87.9,544,320,2019,0,Kutlu Yayınevi,,,,
"""Kilimanjaronun Karları""",Ernest Hemingway,7.2,"['Hikaye (Öykü)', 'Edebiyat']",Yasemin Yener,1089,190,146.0,120.0,50.8,49.2,333,196,2018,1961,Bilgi Yayınevi,,,,
Yaza Yolculuk,Tomris Uyar,7.1,"['Edebiyat', 'Hikaye (Öykü)']",,1090,198,29.25,30.94,25.099999999999994,74.9,150,88,2018,1986,Yapı Kredi Yayınları,,,,
Sherlock Holmes - Bir Suçun Portresi,Arthur Conan Doyle,8.5,"['Edebiyat', 'Polisiye', 'Roman']",Sinan Köymen,1089,189,75.0,,44.8,55.2,571,336,2016,2003,Ren Kitap,,,,
Şizofreni Yalnız Oynanmaz,Rahmi Vidinlioğlu,7.7,"['Edebiyat', 'Psikoloji', 'Roman']",,1089,268,214.5,,21.400000000000006,78.6,544,320,2012,0,İlya Yayınları,Sevim Korkmaz Dinç,,,
Sevgilerde,Behçet Necatigil,7.8,"['Edebiyat', 'Şiir']",,1088,213,32.83,32.82,37.9,62.1,517,304,2021,1976,Can Yayınları,,,,
Nur Baba,Yakup Kadri Karaosmanoğlu,7.2,"['Edebiyat', 'Roman']",,1088,165,131.2,119.78,45.7,54.3,330,194,2018,1981,İletişim Yayınları,,,,
Gönüllü Kulluk Üzerine Söylev,Étienne de la Boétie,8.7,"['Araştırma-İnceleme', 'Felsefe-Düşünce', 'Siyaset-Politika', 'Tarih']",Mehmet Ali Ağaoğulları,1089,313,93.0,96.72,52.8,47.2,216,127,2018,2015,İmge Kitabevi,,,,
Her Şeye Rağmen Sevgi,Lev Tolstoy,7.4,"['Edebiyat', 'Hikaye (Öykü)']",Ersin Yıldırım,1088,200,54.6,,38.7,61.3,354,208,2012,0,Neden Kitap,,,,
Siyah Beyaz Tabletler,Nurullah Genç,8.6,"['Edebiyat', 'Şiir']",,1088,277,56.0,57.2,26.599999999999994,73.4,136,80,2016,0,Timaş Yayınları,,,,
Zor Zamanlar,Charles Dickens,7.6,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Füsun Elioğlu,1088,183,55.25,103.51,34.400000000000006,65.6,462,272,2009,1854,Oda Yayınları,,,,
Çarpışma,Tuğba Sarıünal,8.2,"['Edebiyat', 'Polisiye', 'Roman']",,1087,306,16.5,18.75,16.299999999999997,83.7,394,232,2018,0,Olimpos Yayınları,Buse Turan,Sevil Şener,,
Run Gülüzar Run,Ayşegül Kocabıçak,8.3,"['Edebiyat', 'Roman']",,1087,302,45.5,102.85,8.299999999999997,91.7,245,144,2017,0,Hep Kitap,,,,
Mavi Oktav Defterleri,Franz Kafka,8.2,['Deneme-İnceleme'],Yekta Majiskül,1087,179,52.0,,40.5,59.5,218,128,2016,1953,Altıkırkbeş Yayınları,,,,
Cenab-ı Aşk,Dücane Cündioğlu,8.6,['Din (İslam)'],,1086,278,65.0,75.0,39.6,60.4,241,142,2017,0,Kapı Yayınları,,,,
Hikmet Dolu Liman Şiirlerle İman 2,Şair’ül İslam Yunus Kokan,8.6,"['Din (İslam)', 'Edebiyat', 'Şiir']",,1086,602,65.0,,11.900000000000006,88.1,156,92,2017,0,Tilki Kitap,Naz Yılmaz,,,
Enkheiridion,Epiktetos,8.5,['Felsefe-Düşünce'],C. Cengiz Çevik,1086,250,143.0,77.5,56.0,44.0,204,120,2019,0,İş Bankası Kültür Yayınları,,,,
Çukurda,Anton Çehov,7.2,"['Hikaye (Öykü)', 'Dünya Klasikleri', 'Edebiyat']",Mustafa Kemal Yılmaz,1086,177,26.0,23.25,38.0,62.0,95,56,2022,1900,İş Bankası Kültür Yayınları,,,,
Sürücü Koltuğu,Muriel Spark,6.8,"['Edebiyat', 'Roman']",Nihal Yeğinobalı,1084,165,90.0,85.56,16.799999999999997,83.2,163,96,2018,1999,Siren Yayınları,,Nazlım Dumlu,,
Bütün Şiirleri,Ahmet Haşim,8.6,"['Antoloji', 'Edebiyat', 'Şiir', 'Türk Klasikleri']",,1085,207,90.0,78.0,44.6,55.4,423,249,2016,0,Dergah Yayınları,,,,
Direniş,Jennifer L. Armentrout,8.6,"['Edebiyat', 'Fantastik', 'Roman']",Barış Emre Alkım,1084,248,195.0,181.13,3.700000000000003,96.3,619,364,2014,0,Dex Kitap,,,,
Gümüş Sandalye,C. S. Lewis,8.2,"['Roman', 'Fantastik', 'Edebiyat', 'Gençlik']",Müfit Balabanlılar,1085,231,59.25,57.3,31.299999999999997,68.7,410,241,2012,1953,Doğan Egmont Yayıncılık,,,,
Melez,Jennifer L. Armentrout,8.4,"['Edebiyat', 'Fantastik', 'Roman']",Bilge Zileli Alkım,1084,253,195.0,165.38,4.0,96.0,578,340,2012,0,Dex Yayınevi,,,,
Korku Ağı,Stephen King,8.7,"['Edebiyat', 'Korku-Gerilim', 'Roman']",Öz Dokuman,1083,269,358.05,283.19,51.5,48.5,1006,592,2017,0,Altın Kitaplar,,,,
Bir Maskenin İtirafları,Yukio Mişima,7.5,"['Edebiyat', 'Roman']",Zeyyat Selimoğlu,1084,223,,,29.0,71.0,354,208,2017,0,Can Yayınları,,,,
Doktor Jivago,Boris Pasternak,8.1,"['Roman', 'Dünya Klasikleri', 'Edebiyat']",Hülya Arslan,1083,352,260.0,248.23,44.3,55.7,1034,608,2023,1965,Yapı Kredi Yayınları,,,,
Atatürk ve Kayıp Kıta Mu,Sinan Meydan,8.5,"['Araştırma-İnceleme', 'Tarih']",,1083,315,144.0,148.8,56.3,43.7,408,240,2019,2005,İnkılâp Kitabevi,,Aret Demirkaynak,,
Krallığı Öldürmek,Alexandra Christo,7.6,"['Aşk', 'Edebiyat', 'Fantastik', 'Gençlik', 'Macera-Aksiyon', 'Roman']",Sibel Calayır Atam,1083,265,80.0,166.49,3.5999999999999943,96.4,789,464,2020,2018,Martı Yayınları,,,,
Marifet,Şair’ül İslam Yunus Kokan,8.7,"['Edebiyat', 'Şiir']",,1083,597,,,12.200000000000003,87.8,136,80,2019,0,Kutlu Yayınevi,,,,
Teke Şenliği,Mario Vargas Llosa,9.0,"['Edebiyat', 'Roman']",Peral Bayaz,1083,406,260.0,182.09,31.599999999999994,68.4,935,550,2020,2019,Can Yayınları,,,,
Halef 2,Leman Veli,8.6,"['Roman', 'Edebiyat']",,1082,262,107.4,199.49,1.7999999999999972,98.2,734,432,2021,0,Ephesus Yayınları,,,,
Susacak Var,Kahraman Tazeoğlu,7.3,['Roman'],,1082,183,19.2,137.4,19.299999999999997,80.7,544,320,2013,2010,Destek Yayınları,,,,
Üç Adım Uzakta,Tobias Iaconis,8.6,"['Aşk', 'Edebiyat', 'Gençlik', 'Roman']",Mehmet Gürsel,1081,377,207.0,210.19,5.0,95.0,422,248,2019,2018,Epsilon Yayınevi,Su Akaydın,,,
Sherlock Holmes - Tüm Hikayeleri,Arthur Conan Doyle,9.2,"['Edebiyat', 'Hikaye (Öykü)', 'Polisiye']",Cumhur Mısırlıoğlu,1080,378,51.35,,45.9,54.1,1931,1136,2019,2017,Martı Yayınları,Rose Mary Samanoğlu,Yasin Öksüz,,
Şen Bilim,Friedrich Nietzsche,8.3,['Felsefe-Düşünce'],Hasan İlhan,1080,211,8.89,58.5,57.7,42.3,177,104,2014,2010,Alter Yayıncılık,,,,
Kanuni,Okay Tiryakioğlu,8.0,"['Edebiyat', 'Roman', 'Tarih']",,1079,190,147.0,147.0,65.0,35.0,490,288,2013,0,Timaş Yayınları,,,,
Dinlenme ve Rahatlama Yılım,Ottessa Moshfegh,6.8,"['Roman', 'Edebiyat']",Begüm Kovulmaz,1081,187,135.0,141.75,5.200000000000003,94.8,394,232,2022,2018,İthaki Yayınları,,,,
Raşomon,Ryunosuke Akutagava,7.5,"['Hikaye (Öykü)', 'Edebiyat']",Melek Çelik,1079,178,72.0,75.6,26.200000000000003,73.8,258,152,2022,1915,İthaki Yayınları,,,,
Otuz Yedi,Sezin Karameşe,8.3,"['Edebiyat', 'Roman']",,1080,288,100.08,103.42,3.0999999999999943,96.9,435,256,2021,0,İnkılap Kitabevi Yayınevi,Mehmet  Bozkurt,Gilas Coşkun,,
Sonuncu Kurban,Agatha Christie,7.9,"['Edebiyat', 'Polisiye', 'Roman']",Gönül Suveren,1079,168,157.85,148.63,25.799999999999997,74.2,381,224,2019,0,Altın Kitaplar,,,,
Oyun Oynama Sanatı,Aletha J. Solter,8.8,"['Aile (Kadın, Erkek ve Çocuk)', 'Çocuk', 'Eğitim']",,1078,284,136.5,115.76,8.900000000000006,91.1,374,220,2019,0,Doğan Kitap,,,,
Kadın Yok Savaşın Yüzünde,Svetlana Aleksiyeviç,8.9,"['Anı-Mektup-Günlük', 'Edebiyat', 'Tarih']",Günay Çetao Kızılırmak,1078,410,129.03,210.19,24.799999999999997,75.2,687,404,2016,2015,Kafka Yayınları,,,,
Babam Karı Kovalardı Ben Mucize,Emre Işık,9.5,"['Edebiyat', 'Deneme-İnceleme']",,1078,41,101.25,,35.5,64.5,231,136,2024,0,Cinius Yayınları,,,,
Middlesex,Jeffrey Eugenides,8.2,"['Roman', 'Edebiyat']",Solmaz Kamuran,1078,331,89.76,141.49,24.5,75.5,1028,605,2015,2002,Domingo Yayınevi,,,,
Canavarın Çağrısı,Patrick Ness,8.6,"['Edebiyat', 'Fantastik', 'Gençlik', 'Korku-Gerilim', 'Roman']",Arif Cem Ünver,1077,359,75.24,71.28,19.200000000000003,80.8,381,224,2016,2013,Delidolu Yayınları,,,,
