,Kitap Adı,Yazar,Puan,Türler,Datamix,Satici,Fiyat,MaxOkurCinsiyet,MaxOkurYüzde,Çevirmen
1921,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1922,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1923,['Uçarca'],['Mehmet Fatih Işıldak'],"['9.6/10', '3.006', '199']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 3 sa. 38 dk.', 'Sayfa Sayısı: 128', 'Basım Tarihi: 18 Eylül 2019', 'Yayınevi: Ark Kitapları']","['Bkmkitap', 'Kitapyurdu']","['₺67,45', '₺61,75']",['Kadın'],['% 57.3'],['Yazar: \nMehmet Fatih Işıldak']
1924,['Antonius ve Kleopatra'],['William Shakespeare'],"['8.3/10', '3.004', '576']","['Dünya Klasikleri', ',', 'Edebiyat', ',', 'Tiyatro', ',', 'Senaryo-Oyun']","['Tahmini Okuma Süresi: 4 sa. 39 dk.', 'Sayfa Sayısı: 164', 'Basım Tarihi: Ocak 2020', 'İlk Yayın Tarihi: 1606', 'Yayınevi: Türkiye İş Bankası Kültür Yayınları', 'Orijinal Adı: Antony and Cleopatra']","['Bkmkitap', 'Kitapyurdu']","['₺39,00', '₺24,16']",['Kadın'],['% 62.1'],"['Yazar: \nWilliam Shakespeare', 'Çevirmen: \nSabahattin Eyüboğlu']"
1925,['Dune Tanrı İmparatoru'],['Frank Herbert'],"['8.3/10', '3.007', '771']","['Bilim-Kurgu', ',', 'Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 14 sa. 30 dk.', 'Sayfa Sayısı: 512', 'Basım Tarihi: 19 Nisan 2021', 'İlk Yayın Tarihi: 1 Ocak 2002', 'Yayınevi: İthaki Yayınları', 'Orijinal Adı: God Emperor of Dune (Dune #4)']","['Bkmkitap', 'Kitapyurdu']","['₺204,00', '₺214,20']",['Erkek'],['% 51.3'],"['Yazar: \nFrank Herbert', 'Çevirmen: \nDost Körpe']"
1926,['Av'],['P. C. Cast'],"['7.7/10', '3.003', '341']","['Roman', ',', 'Fantastik', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 11 sa. 34 dk.', 'Sayfa Sayısı: 408', 'Basım Tarihi: 1 Nisan 2011', 'İlk Yayın Tarihi: 2009', 'Yayınevi: Pegasus Yayınları', 'Orijinal Adı: Hunted']","['Bkmkitap', 'Kitapyurdu']","['₺164,45', '₺156,98']",['Kadın'],['% 89.8'],"['Yazar: \nP. C. Cast', 'Yazar: \nKristin Cast', 'Çevirmen: \nSevinç Seyla Tezcan', 'Tasarımcı: \nYunus Bora Ülke']"
1927,['Düşünce ve Tartışma Özgürlüğü Üzerine'],['John Stuart Mill'],"['7.9/10', '3.001', '574']","['Felsefe-Düşünce', ',', 'Edebiyat', ',', 'Anlatı']","['Tahmini Okuma Süresi: 1 sa. 49 dk.', 'Sayfa Sayısı: 64', 'Basım Tarihi: Temmuz 2020', 'İlk Yayın Tarihi: Nisan 2003', 'Yayınevi: Can Yayınları', 'Orijinal Adı: On Liberty']","['Bkmkitap', 'Kitapyurdu']","['₺52,00', '₺37,76']",['Kadın'],['% 62.5'],"['Yazar: \nJohn Stuart Mill', 'Çevirmen: \nCem Akaş']"
1928,['Eleanor ve Park'],['Rainbow Rowell'],"['7.2/10', '2.996', '595']","['Roman', ',', 'Edebiyat', ',', 'Gençlik']","['Tahmini Okuma Süresi: 10 sa. 12 dk.', 'Sayfa Sayısı: 360', 'Basım Tarihi: Kasım 2015', 'İlk Yayın Tarihi: Haziran 2015', 'Yayınevi: Pegasus', 'Orijinal Adı: Eleanor & Park']","['Bkmkitap', 'Kitapyurdu']","['₺197,45', '₺233,35']",['Kadın'],['% 96.6'],"['Yazar: \nRainbow Rowell', 'Çevirmen: \nMüge Kocaman Özçelik']"
1929,['Güvercin Gerdanlığı'],['İbn Hazm El-Endelüsi'],"['7.6/10', '2.996', '706']","['Aşk', ',', 'Din (İslam)', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 8 sa. 37 dk.', 'Sayfa Sayısı: 304', 'Basım Tarihi: Temmuz 2020', 'İlk Yayın Tarihi: 1949', 'Yayınevi: İnsan Yayınları', ""Orijinal Adı: Le Collier Du Pigeon Ou De L'amour Et Des Amants, Tawg Al-hamama Fi'l-ulfa Wa'l-ullaf""]","['Bkmkitap', 'Kitapyurdu']","['₺143,50', '₺153,85']",['Kadın'],['% 65.0'],"['Yazar: \nİbn Hazm El-Endelüsi', 'Çevirmen: \nMahmut Kanık']"
1930,['Aşıklar Bayramı'],['Kemal Varol'],"['8.7/10', '2.993', '848']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 6 sa. 26 dk.', 'Sayfa Sayısı: 227', 'Basım Tarihi: Ocak 2019', 'Yayınevi: İletişim Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺145,14', '₺129,56']",['Kadın'],['% 70.1'],['Yazar: \nKemal Varol']
1931,['Kara Delikler'],['Stephen W. Hawking'],"['8.6/10', '2.991', '693']","['Araştırma-İnceleme', ',', 'Bilim-Teknoloji-Mühendislik']","['Tahmini Okuma Süresi: 2 sa. 8 dk.', 'Sayfa Sayısı: 75', 'Basım Tarihi: 22 Aralık 2020', 'Yayınevi: Alfa Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺74,75', '₺72,45']",['Erkek'],['% 53.0'],"['Yazar: \nStephen W. Hawking', 'Çevirmen: \nKerem Cankoçak']"
1932,['Biz İnsanlar'],['Peyami Safa'],"['8.6/10', '2.990', '688']","['Roman', ',', 'Edebiyat', ',', 'Türk Klasikleri']","['Tahmini Okuma Süresi: 11 sa. 20 dk.', 'Sayfa Sayısı: 400', 'Basım Tarihi: Haziran 2021', 'İlk Yayın Tarihi: 1959', 'Yayınevi: Ötüken Neşriyat']","['Bkmkitap', 'Kitapyurdu']","['₺129,60', '₺135,72']",['Kadın'],['% 60.6'],['Yazar: \nPeyami Safa']
1933,['Antik Acılar'],['Sunay Akın'],"['6.9/10', '2.989', '473']","['Edebiyat', ',', 'Şiir']","['Tahmini Okuma Süresi: 1 sa. 44 dk.', 'Sayfa Sayısı: 61', 'Basım Tarihi: 1 Ocak 2005', 'Yayınevi: Çınar Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺37,70', '₺32,55']",['Kadın'],['% 63.3'],['Yazar: \nSunay Akın']
1934,['Bir Çift Ayakkabı'],['Sunay Akın'],"['8.2/10', '2.984', '633']","['Deneme-İnceleme', ',', 'Edebiyat']","['Tahmini Okuma Süresi: 5 sa. 26 dk.', 'Sayfa Sayısı: 192', 'Basım Tarihi: Kasım 2011', 'Yayınevi: İş Bankası Kültür Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺33,60', '₺43,40']",['Kadın'],['% 64.1'],['Yazar: \nSunay Akın']
1935,['Hercai'],['Sümeyye Koç'],"['7.7/10', '2.984', '2.498']","['Aşk', ',', 'Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 12 sa. 14 dk.', 'Sayfa Sayısı: 432', 'Basım Tarihi: Nisan 2017', 'Yayınevi: Epsilon Yayınları', 'Orijinal Adı: Hercai']","['Bkmkitap', 'Kitapyurdu']","['₺89,10', '₺118,80']",['Kadın'],['% 88.3'],"['Yazar: \nSümeyye Koç', 'Editör: \nYağmur Yavaş', 'Tasarımcı: \nSinem Akdemir']"
1936,['Şimdi Sevişme Vakti'],['Sait Faik Abasıyanık'],"['7.6/10', '2.982', '555']","['Edebiyat', ',', 'Şiir']","['Tahmini Okuma Süresi: 1 sa. 11 dk.', 'Sayfa Sayısı: 42', 'Basım Tarihi: Haziran 2014', 'İlk Yayın Tarihi: 1953', 'Yayınevi: İş Bankası Kültür Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺5,85', '₺23,25']",['Kadın'],['% 57.9'],['Yazar: \nSait Faik Abasıyanık']
1937,['Factotum'],['Charles Bukowski'],"['7.8/10', '2.983', '624']","['Roman', ',', 'Edebiyat', ',', 'Yeraltı Edebiyatı']","['Tahmini Okuma Süresi: 4 sa. 32 dk.', 'Sayfa Sayısı: 160', 'Basım Tarihi: 2020', 'İlk Yayın Tarihi: 2002', 'Yayınevi: Metis Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺104,00', '₺95,16']",['Erkek'],['% 66.0'],"['Yazar: \nCharles Bukowski', 'Çevirmen: \nAvi Pardo']"
1938,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1939,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1940,"['Kitap', 'Kitap bulunamadı']",[],[],[],[],[],[],[],[],[]
1941,['Yol Ayrımı'],['Kemal Tahir'],"['8.2/10', '2.982', '751']","['Edebiyat', ',', 'Roman']","['Tahmini Okuma Süresi: 12 sa. 55 dk.', 'Sayfa Sayısı: 456', 'Basım Tarihi: Aralık 2019', 'Yayınevi: İthaki Yayınları']","['Bkmkitap', 'Kitapyurdu']","['₺77,00', '₺92,40']",['Erkek'],['% 58.6'],"['Yazar: \nKemal Tahir', 'Tasarımcı: \nÖmer Ülkenciler']"
